Timestamp,My registration number is (required to be eligible for raffle prize),I am primarily associated with,The technical quality of papers was high,The papers presented interesting material,The talks were well presented,The presented papers in my area of work were relevant,"Even with parallel sessions, I was able to attend most of the talks I was interested in",The number of papers accepted was,The length of POPL presentations (including questions) should be,What type of proceedings do you find most useful during the conference?,What type of proceedings do you find least useful during the conference?,Have you viewed any POPL  video online?,POPL should have a best presentation award,"In addition to the 10-year Most Influential Paper award, POPL should give out distinguished paper awards",I am a (co)-author of a paper accepted to POPL,I am a (co)-author of a POPL  submission,The reviews I received were thorough and fair,I was happy with the double blind reviewing process used for POPL ,The author rebuttal process used for POPL was,What did you like about the reviewing process used for POPL?,What did you dislike about the reviewing process used for POPL?,I would not be attending POPL if I were not also attending a co-located event,"If yes, which event(s)?",The location of POPL  played a role in my decision to attend,"Given a choice of an “interesting/higher cost” location or a “less interesting/lower cost” location, I would prefer:","Regardless of the location, I will not attend POPL if the nightly hotel costs are above","Regardless of location, I will not attend POPL if the early registration costs for POPL are above","If POPL were held in the Pacific Rim area (China, Korea, Japan, Australia, etc.) how would this affect your likelihood of attending?","If POPL were held in Israel, how would this affect your likelihood of attending?",Which week of January do you prefer to hold POPL?,Future POPLs should have more opportunities for socializing and fun,"Future POPLs should have an outing/social event, even if it increases the registration cost by $85",What other factors would increase the likelihood that you would attend future POPLs as a non-author?,What other factors would decrease the likelihood that you would attend future POPLs as a non-author?,I stayed at one of the conference hotels,The meals and break food met my needs,"The conference facilities (internet, location, etc.) met my needs",What did you like best about POPL '15?,What about POPL '15 were you most unhappy about?,Any comments on the facilities?,Is open access important to you?,"If open access required author processing fees, how much would you agree to pay?",Would you support publishing the proceedings of POPL as a special issue of TOPLAS?
1/18/2015 12:03:55,,student,1,1,2,3,2,about right,30 minutes,USB stick,hardcopy proceedings,no,4,3,yes,yes,,,,,,no,,5,less interesting/lower cost,$150,doesn't matter,3,4,week 2,2,2,,,yes,1,2,,I didn't find any links to the videos made during the talks. Will the talks held on 14th Jan (HBA) be published?,,4,$100,No
1/18/2015 12:11:52,,academia (non-student),3,4,4,4,1,too many,30 minutes,download via internet during the conference,USB stick,yes,1,2,yes,yes,,,,,,no,,1,interesting/higher cost,doesn't matter,doesn't matter,3,3,week 4,4,3,,,yes,3,1,,,,4,$100,Yes
1/18/2015 12:12:42,,academia (non-student),2,2,2,1,2,about right,30 minutes,USB stick,hardcopy proceedings,yes,3,3,no,yes,,,,,,no,,3,interesting/higher cost,$250,doesn't matter,5,2,week 2,2,2,,,yes,3,4,,,,3,,Yes
1/18/2015 12:17:56,,student,2,2,1,1,2,about right,15 minutes,download via internet during the conference,download via internet during the conference,no,3,3,no,no,,,,,,no,,2,interesting/higher cost,$150,$500,2,2,week 4,2,3,,,no,2,2,,,,3,$100,Yes
1/18/2015 12:31:38,,student,4,4,4,2,5,about right,25 minutes,USB stick,download via internet during the conference,no,1,4,no,no,,,,,,yes,"coqpl, Tutorials",1,less interesting/lower cost,$150,$500,3,1,week 3,2,5,"travel grants (for students)
no fees for tutorials and workshops",,no,2,1,"tutorials, Stephanie's talks about writing papers and giving talks,
workshops.
--location
--food
","Students(at least who ever wants to attend)  of Host Institute
should  not have been made to pay for registration.

",excellent,5,$100,Yes
1/18/2015 12:37:55,,student,2,1,3,2,3,about right,30 minutes,hardcopy,download via internet during the conference,no,2,2,yes,yes,,,,,,no,,3,interesting/higher cost,doesn't matter,$700,3,4,week 3,3,2,,,yes,1,2,,,,4,$250,Yes
1/18/2015 12:38:28,,student,2,2,3,,2,about right,25 minutes,download via internet during the conference,hardcopy proceedings,no,1,4,yes,yes,,,,,,no,,4,less interesting/lower cost,$150,$500,3,2,week 2,2,4,,,yes,4,3,,,,5,$100,Yes
1/18/2015 12:56:19,,academia (non-student),3,3,2,2,1,about right,30 minutes,download via internet during the conference,hardcopy proceedings,no,4,3,no,no,,,,,,yes,VMCAI,3,interesting/higher cost,$250,doesn't matter,4,2,week 3,4,1,,,yes,2,2,,,,1,$250,Yes
1/18/2015 13:13:01,,student,3,3,,2,3,about right,30 minutes,hardcopy,download via internet during the conference,no,2,1,no,no,,,,,,yes,VMCAI,3,interesting/higher cost,$200,$600,2,2,week 2,1,1,,,yes,3,4,,,,4,$100,No
1/18/2015 13:26:45,,academia (non-student),2,3,2,2,2,about right,20 minutes,download via internet during the conference,USB stick,no,3,3,yes,yes,,,,,,no,,5,interesting/higher cost,doesn't matter,doesn't matter,2,2,week 3,2,3,,,yes,1,2,"Schmoozing with other researchers

I want to give a shout-out to the excellent food served at TIFR, too!  Waaaaay better than any vegetarian food option at any of the previous tens of conferences I've attended.","Bus transportation was probably the weakest link.  There was some serious disorganization in helping folks find their buses leaving to different hotels (plenty of very avoidable missed-bus situations).  The late hour getting home after the banquet was also a serious pain factor, in terms of how rested I felt the next day.  The bus schedule on the post-conference workshop days seems to have gone too far in the other direction, overestimating travel time by at least an hour and forcing us to get up early for no pay-off.    Perhaps this level of uncertainty is unavoidable in India, which may have been a reason to think harder about whether it's a suitable location (though I'm not at all convinced that Mumbai was a bad idea... *shrug*).

I also miss the opportunity to chat with more of the usual suspects who go to POPL a majority of years, as I think most decided to skip this one because of complexities in travel, visas, etc.  SIGPLAN might consider requiring that a host country meet some kind of semi-objective standard in quality of bureaucracy to apply for needed travel permissions.  IMO India would fail any well-stated check of that kind.  (Ironically, the U.S. might, too, but we're grandfathered in. :P)",,3,$100,Yes
1/18/2015 13:36:35,,student,2,1,2,3,3,about right,30 minutes,USB stick,hardcopy proceedings,no,2,3,no,no,,,,,,no,,1,less interesting/lower cost,$150,$500,3,3,week 2,3,2,,,yes,2,3,,,,4,$100,Yes
1/18/2015 13:41:27,,student,1,1,1,1,3,about right,30 minutes,download via internet during the conference,hardcopy proceedings,yes,3,3,yes,yes,,,,,,no,,3,less interesting/lower cost,$200,$500,3,3,week 2,3,3,,,yes,1,3,,,"The internet cost at the hotel was separate, this was a bit surprising.",3,,No
1/18/2015 13:59:42,,student,1,2,2,2,4,about right,30 minutes,USB stick,hardcopy proceedings,no,3,3,yes,yes,,,,,,no,,5,less interesting/lower cost,$200,$700,3,5,week 4,3,4,,,yes,4,1,,Should have a good thing to have negotiated rate for the hotel's internet connection. 990Rs+taxes is a lot !!,,5,$100,Yes
1/18/2015 14:05:35,,student,1,1,3,1,3,too few,30 minutes,download via internet during the conference,hardcopy proceedings,no,1,1,no,no,,,,,,yes,CoqPL,5,interesting/higher cost,doesn't matter,doesn't matter,3,3,week 2,1,1,Cost,Cost,yes,1,1,The community,"The ""coffee"". Nescafe is not coffee. Once I found you could buy better coffee at the canteen for 2 Rupees, life was much better.",So beautiful! Wow.,3,$250,Yes
1/18/2015 14:11:37,,academia (non-student),1,1,1,2,1,about right,25 minutes,hardcopy,download via internet during the conference,no,1,1,yes,yes,,,,,,no,,5,less interesting/lower cost,$250,$600,3,1,week 2,4,3,,,yes,1,1,,,,5,$100,Yes
1/18/2015 14:16:52,,student,2,2,2,2,3,about right,30 minutes,hardcopy,USB stick,yes,1,2,yes,yes,,,,,,no,,4,interesting/higher cost,$150,$500,2,1,week 4,2,5,,,yes,3,3,,the conference location was isolated from the rest of the city,"the sea palace hotel is terrible, definitively not a 3 star hotel",4,$100,Yes
1/18/2015 14:19:43,,student,,1,1,,1,,30 minutes,download via internet during the conference,hardcopy proceedings,no,,,no,no,,,,,,no,,1,interesting/higher cost,,,3,3,,,,,,no,1,,,,,,,
1/18/2015 14:24:17,,student,1,1,3,2,4,about right,30 minutes,download via internet during the conference,hardcopy proceedings,no,2,4,yes,yes,,,,,,no,,2,less interesting/lower cost,$200,$500,3,3,week 2,4,4,,,yes,1,1,,,,5,$100,Yes
1/18/2015 14:34:52,,student,2,2,2,3,4,about right,30 minutes,download via internet during the conference,USB stick,no,3,1,no,no,,,,,,no,,1,less interesting/lower cost,$150,$500,3,3,week 3,2,2,,,no,1,2,,,,5,$100,Yes
1/18/2015 14:36:22,,student,1,2,2,2,2,about right,30 minutes,download via internet during the conference,USB stick,no,1,2,no,no,,,,,,no,,1,less interesting/lower cost,$150,$500,1,1,week 2,2,1,More funding for us students as being from India without funding it will be impossible to attend,,no,3,1,The approach and the location,Not much for beginner students. A session for them would be useful,,5,,
1/18/2015 14:47:20,,academia (non-student),3,3,5,4,2,too few,30 minutes,download via internet during the conference,USB stick,no,1,5,yes,no,,,,,,no,,5,less interesting/lower cost,$250,$600,3,1,week 4,1,5,,,yes,5,5,,,,5,$100,Yes
1/18/2015 14:51:57,,student,1,2,3,2,2,about right,30 minutes,hardcopy,download via internet during the conference,no,1,1,no,no,,,,,,yes,VMCAI,5,interesting/higher cost,doesn't matter,doesn't matter,3,4,week 2,3,2,,,yes,2,2,,,,5,$100,
1/18/2015 14:52:41,,industry,1,2,1,2,1,about right,30 minutes,download via internet during the conference,hardcopy proceedings,no,5,2,no,no,,,,,,no,,1,interesting/higher cost,doesn't matter,doesn't matter,3,3,week 2,1,1,,,yes,1,1,,,,4,$100,No
1/18/2015 14:57:20,,academia (non-student),4,3,3,3,4,about right,25 minutes,USB stick,download via internet during the conference,no,3,4,no,no,,,,,,yes,CPP,3,less interesting/lower cost,$200,$500,2,3,week 4,2,3,,"Long travel, talks not relevant for my area of interest, difficult visa procedures",yes,2,3,,"Banquet was too far away from the hotels, too crowded (very long queues)
Difficult visa procedures for India
High costs",,4,$100,Yes
1/18/2015 15:02:49,,student,3,3,4,3,2,about right,30 minutes,download via internet during the conference,hardcopy proceedings,no,1,2,no,no,,,,,,yes,PLMW,3,interesting/higher cost,$150,$500,3,3,week 3,2,2,,,yes,1,2,,,"Please do not serve water in such small bottles. It is a huge waste of plastic. At lunches, glasses and water jugs are more than sufficient. Water fountains outside lecture halls are also better than giving everyone small bottles.",5,$100,
1/18/2015 15:26:24,,academia (non-student),2,1,2,1,,about right,30 minutes,USB stick,hardcopy proceedings,no,3,2,yes,no,,,,,,no,,3,interesting/higher cost,$150,$500,5,1,week 3,1,1,,,yes,3,2,,the banquet was not really interesting and the food was average,,5,$500,Yes
1/18/2015 15:30:13,,student,2,3,2,2,2,about right,30 minutes,download via internet during the conference,USB stick,no,1,1,no,no,,,,,,yes,"WEPL, CPP",1,interesting/higher cost,$150,$500,3,2,week 2,3,3,Travel grant,other commitments,yes,1,1,Session 9A: Concurrency -III,T-Shirts ,thanks,4,,Yes
1/18/2015 16:01:51,,academia (non-student),1,1,2,1,1,about right,25 minutes,download via internet during the conference,hardcopy proceedings,no,4,1,no,no,,,,,,yes,,5,less interesting/lower cost,$200,$700,2,5,week 4,1,1,,,yes,1,1,The location was wonderful.,,,5,$500,Yes
1/18/2015 16:09:46,,academia (non-student),4,5,5,5,3,about right,20 minutes,hardcopy,USB stick,no,5,3,yes,yes,,,,,,no,,3,interesting/higher cost,doesn't matter,doesn't matter,2,3,week 2,1,1,N/A,N/A,yes,1,1,"Mumbai was fantastic! Kudos to Paritosh and Shriram for excellent arrangements.

I wish more north american / europeans had made the trek.",N/A,Wonderful organization.,5,$250,No
1/18/2015 17:04:22,,student,2,3,3,2,1,about right,30 minutes,hardcopy,USB stick,no,1,2,no,no,,,,,,no,,2,interesting/higher cost,$150,$600,4,2,week 4,2,1,,,yes,3,1,,,,5,,
1/18/2015 17:59:43,,academia (non-student),1,1,1,1,1,about right,30 minutes,download via internet during the conference,USB stick,yes,1,1,no,no,,,,,,no,,4,interesting/higher cost,doesn't matter,doesn't matter,5,5,week 3,1,1,"Good tutorials over new important topics.
Mentoring workshop like PLMW.
Interesting satellite workshops.
Interesting venue",n/a,yes,1,1,"Doubtlessly, many interesting talks from POPL and PLMW.
The Indian Dance Program, which was beautiful.","I missed tutorials due to my personal flight time. This time, the tutorials were given two days before POPL.",,5,$500,Yes
1/18/2015 18:08:41,,academia (non-student),1,2,3,2,1,too many,30 minutes,download via internet during the conference,hardcopy proceedings,no,1,2,no,no,,,,,,no,,1,less interesting/lower cost,$150,$500,5,1,week 2,3,5,,,no,3,2,,,,5,$100,Yes
1/18/2015 18:11:07,,industry,1,2,2,2,2,about right,30 minutes,USB stick,hardcopy proceedings,yes,1,1,no,no,,,,,,no,,1,less interesting/lower cost,$150,doesn't matter,5,1,week 2,1,2,,,no,2,1,,,,5,$100,No
1/18/2015 18:26:42,,academia (non-student),2,2,1,3,2,about right,30 minutes,USB stick,download via internet during the conference,no,3,4,no,no,,,,,,yes,PEPM,2,less interesting/lower cost,$150,$500,3,3,week 4,3,5,,,yes,3,3,"Interaction with other researchers, talks, food, and TIFR location.",Wi-fi was very bad at times.,"I stayed at Victoria hotel and it was bad. Not only because of the facilities which were ordinary, but they are very unprofessional and unethical. They charged their premium rates (as published on their website), and made the arrangements in their average rooms. This is cheating and may be most of the guests didn't realize this. they did not provide soap/shampoo replacements unless and until told. Same with the coffee and water. I didn't know that the ""budget hotel"" would be that bad. Please do not include this hotel in your future lists.",5,$100,Yes
1/18/2015 18:50:29,,academia (non-student),3,3,3,3,4,too many,30 minutes,USB stick,hardcopy proceedings,no,2,1,no,no,,,,,,no,,4,interesting/higher cost,$150,doesn't matter,3,4,week 4,1,1,,"Influential paper award is less impotant than best paper one, since objective data such as citation numbers are easy to get for everyone, while subjective judgement by reviewers (and maybe attendances) is precious data.",yes,1,1,,,,5,$100,Yes
1/18/2015 18:52:34,,academia (non-student),1,1,2,1,3,about right,30 minutes,USB stick,hardcopy proceedings,no,5,5,no,no,,,,,,no,,4,less interesting/lower cost,$250,$600,3,1,week 3,3,5,"Longer tutorials, 4 days and fewer parallel sessions.",,yes,1,3,The talks and the chance to meet people.  I particularly valued the chance to meet young Indian researchers and students.,Loved it all!,"Internet was slow, venue was fantastic. Hotels were great.  ",1,$250,Yes
1/18/2015 19:18:09,,academia (non-student),1,1,1,1,1,about right,30 minutes,USB stick,hardcopy proceedings,yes,3,1,yes,no,,,,,,no,,1,less interesting/lower cost,$150,$500,2,3,week 3,3,4,,,no,3,3,,,,5,$100,Yes
1/18/2015 19:29:13,,student,2,3,2,2,2,about right,30 minutes,download via internet during the conference,hardcopy proceedings,no,5,2,no,no,,,,,,no,,1,less interesting/lower cost,$150,$500,3,3,week 2,1,1,,,no,4,1,,,,5,$100,Yes
1/18/2015 19:57:48,,academia (non-student),2,2,3,3,1,about right,25 minutes,hardcopy,download via internet during the conference,no,1,1,no,no,,,,,,no,,5,interesting/higher cost,doesn't matter,$500,3,5,week 4,2,5,,,no,5,3,,,,5,$100,Yes
