"Timestamp","Open access to scientific results is...","Would having open access at a reasonable price influence your decision to submit an article to a venue?","How would you propose to fund the archival of papers under an OA model?","What would be highest acceptable author processing charges per article (in $)?","Would you support ACM reducing expenses and possibly scaling back on the “Good Works” to fund OA?","What is, in your view, the primary role of the ACM?","Would you consider changing publishers if OA were not available at an acceptable price from the ACM within two years?","Should authors retain copyright of their work?","Comments on Open Access","In your field, where do important results first appear?","Have you published in a journal in the last three years?","Have you read a paper published in a journal in the last year?","Have you published in a conference in the last two years?","You publish in journals mainly because ","Would you support publishing our best conferences as special issues of a journal?","Comments on the importance of Journals in CS","The DL fulfill its role of being a convenient portal to find CS research results","The DL makes it easy to find articles","The DL’s search facility should be replaced by a commercial search engine","The DL’s archiving facility should be replaced with ArXiv","Comments about the DL","Do you work","How long ago was your first published scientific paper?","Are you a member of the ACM?","Which SIG (if any) do identify with?","Where do you spend most of your time?"
"2015/03/06 1:04:28 AM AST","a moral imperative","yes","through increased conference registration costs (or attendance)","100","yes","(1) maintain digital library, (2) back SIG conferences, (3) fund Turing award.","yes","yes","It seems to me that the reported ACM publication costs are ridiculously high.  ","conferences","yes","yes","yes","it is expected by your employer","yes","","2","2","3","1","","academia","10+ years ago","yes","SIGOPS","Middle east"
"2015/03/06 1:06:04 AM AST","a moral imperative","yes","through author processing charges","700","yes","","yes","not essential","","both","yes","yes","yes","they allow long form results;they allow one to present completed research;they provide better reviews;it is expected by your employer","no","","2","3","1","5","","academia","10+ years ago","yes","SIGPLAN","North America"
"2015/03/06 1:07:44 AM AST","a moral imperative","yes","Industry Funding (since they create business/profits from it)","0","yes","Roles should be:
To create a centralized platform for scientific material which is freely accessible to anyone.

Unfortunately, roles seem to be:
To create a centralized platform for scientific material so that it can charge people who want to access the material (of course, not paying back authors at all).","yes","yes","Is it really Open? Why do people have to pay?","both","no","yes","yes","","yes","","5","3","4","5","","academia","<10 years ago","yes","ARCH, PLAN, HPC","North America"
"2015/03/06 1:09:07 AM AST","a moral imperative","yes","through increased conference registration costs (or attendance)","100","yes","It ought to be a scholarly, or scientific association, whose running certainly must be economically sustainable, but not driven by commercial notions such as increasing its gross income, etc. The drive should come from serving the scientific community, and that includes offering its members services at *very* streamlined costs, keeping in mind that this community is global, diverse (also in its financial capabilities) and constantly renewed (by the influx of young researchers). Sucking in the public resources that fund most of academic research in the world should not be a priority.","yes","yes","I find the discussion of only two options (Gold and Green) a little confusing. Does a model like LIPIcs fall in the Gold option? Should there be a special notion of 'non-commercial' Gold (I don't know how to call it)? Just a thought…
That being said, I think that Open Access is an absolute must, and that the way scientific publishing goes, is changing and will continue changing. Let us start with our own backyard: CS, conferences and then (different set of problems) journals, and then (again different set of problems) books","both","yes","yes","yes","they allow long form results;they provide better reviews;they are more prestigious","yes","Actually, publishing the papers of a conference as a special issue of a journal serves a different purpose than publishing them as a volume of proceedings: different time scale, different level of finishing. I think that the good conference papers should be turned to longer-lasting, richer, journal papers (whether in a special issue or not), and that there is also an essential place for journal publications, for papers that are not well fitted for conferences (wider scope, longer, whatever…). Personally, I highly value journal publications when evaluating an application.","2","3","3","5","","academia","20+ years ago","no","SIGACT, SIGLOG","Europe"
"2015/03/06 1:09:13 AM AST","not essential","no","I do not care about OA so much","100","no","","no","not essential","","conferences","yes","yes","yes","it is expected by your employer","no","","4","3","3","2","","academia","<10 years ago","yes","","Europe"
"2015/03/06 1:09:15 AM AST","a moral imperative","no","through author processing charges","100","yes","","yes","yes","","conferences","no","no","yes","they provide better reviews","yes","","3","3","3","3","","academia","<10 years ago","no","","Asia"
"2015/03/06 1:11:55 AM AST","a desirable feature","no","a bit of both","100","no","The cost of cutting Good Works is too high of a cost.","yes","yes","","conferences","yes","no","yes","it is expected by your employer","yes","Useless.","1","1","5","5","","academia","10+ years ago","yes","SIGPLAN, SIGSOFT","North America"
"2015/03/06 1:12:49 AM AST","a moral imperative","yes","through increased conference registration costs (or attendance)","0","yes","Cretinous rent-seeking.","yes","yes","It is a moral atrocity that the ACM conducts itself as it does in this regard, but who cares, because AITO has a conscience.","conferences","no","yes","yes","","yes","Meh.","5","4","3","4","","academia","<10 years ago","no","SIGPLAN",""
"2015/03/06 1:15:01 AM AST","a moral imperative","yes","I don't see why these are mutually exclusive, and there are other options too: ACM dues; grants from NSF and other agencies; etc. ","1000","yes","It is primarily a community of practitioners. I believe the library role should be in the hands of an institution with that as its charter.","yes","yes","Any alternative as a long term plan is shameful. ","conferences","no","yes","yes","they allow long form results;they provide better reviews","no","I expect journal papers to be more thorough and ""baked"" than conference papers and I believe they still play a valuable role. ","4","3","2","4","","industry","20+ years ago","yes","SIGPLAN","North America"
"2015/03/06 1:17:12 AM AST","a moral imperative","no","through author processing charges","100","yes","","yes","yes","","conferences","yes","yes","yes","they allow one to present completed research","yes","","4","4","3","2","","industry","20+ years ago","yes","","North America"
"2015/03/06 1:18:32 AM AST","a desirable feature","yes","through increased conference registration costs (or attendance)","100","no","Support the publication and presentation of leading scientific research in the area of computer science.","yes","yes","Open access to scientific research is a must. The nominal fee can be charged from institutions at a wholesome price and should be made available at cheap prices to independent researchers.","conferences","no","yes","yes","they allow long form results;they allow one to present completed research;they provide better reviews","yes","Allowing authors to explain their work in detail without the artificial size limits is very useful in providing a better understanding of the work. The thorough reviews by experts also helps in ensure quality while providing useful feedback to the authors.","5","4","4","3","The DL maintains a nice library of articles, however its search features can be improved or made more accessible by better documentation and user-friendly features.","academia","<10 years ago","no","SIGPLAN","North America"
"2015/03/06 1:19:38 AM AST","a moral imperative","yes","through author processing charges","100","yes","To organize conferences","yes","yes","PeerJ CS is looking really good","conferences","no","no","yes","it is expected by your employer","yes","They could be good if the review process was open.","2","1","4","4","It's good to have paper archiving. The rest is unnecessary. Google search is all you need.","academia","10+ years ago","yes","SIGPLAN","North America"
"2015/03/06 1:21:29 AM AST","a desirable feature","no","through author processing charges","200","yes","","no","not essential","","conferences","no","yes","yes","it is expected by your employer","no","","2","1","4","5","","industry","<10 years ago","yes","PLAN","North America"
"2015/03/06 1:22:04 AM AST","a moral imperative","no","through increased conference registration costs (or attendance)","0","yes","","no","yes","","both","yes","yes","yes","they allow long form results;they provide better reviews;they are more prestigious;Easy to get a closure on reviews.","yes","I like the model of TACO2 and PVLDB. Which get the best of both worlds. 

It is unfortunate that man CS researchers loose interest after submitting to conferences. I do not know how, but I think it would be good do something so that people will not take the easy route of conferences.","4","1","2","1","","academia","10+ years ago","yes","SIGPLAN","Asia"
"2015/03/06 1:22:44 AM AST","a desirable feature","no","through increased conference registration costs (or attendance)","0","yes","","yes","","","","","","","","","","","","","","","academia","<10 years ago","yes","SIGPLAN","North America"
"2015/03/06 1:23:49 AM AST","a moral imperative","yes","through increased conference registration costs (or attendance)","100","yes","open dissemination of peer-reviewed research -- authoritative, current, and unbiased","yes","yes","","conferences","no","no","yes","more open exchange of ideas","yes","good for mathy and theorem/proof-oriented work","3","3","4","3","","academia","20+ years ago","yes","DA","North America"
"2015/03/06 1:32:05 AM AST","a moral imperative","yes","I suspect that civic-minded corporations such as Google would be happy to help fund this","100","yes","To  advance computing as a science and a profession.","yes","yes","In this day and age, I take it as a given that research publications should be freely available on the Internet. That ship sailed several years ago.","both","no","yes","yes","they are more prestigious","yes","They are less important than they used to be. Plenty of important results are published informally on the web.","3","3","5","3","Access should be free to all. Individuals and (especially) corporations should be encouraged to make voluntary contributions.","industry","20+ years ago","yes","SIGACT, SIGPLAN","North America"
"2015/03/06 1:36:01 AM AST","a desirable feature","no","Either model is problematic unless the fees can be waived if no grants are available to pay for it.","100","no","Support the dissemination of research and education in computer science by publishing articles and sponsoring conferences and workshops.","no","yes","Older math journals had ""page fees"" which were paid when authors had grants, but could be ignored otherwise.  I would be very opposed to charging authors unless there was a reasonable plan for waiving fees for those without grant support.  Otherwise only the rich could afford to publish.","conferences","no","yes","yes","they allow one to present completed research;they provide better reviews","undecided","Journals are important to present completed results as conference papers are often incremental and several papers are required to see the full result (and often notation changes between papers).  We still are conference driven, but it would be good to encourage more researchers to publish larger results in journals.

The biggest problem with conference-only results is that the details cannot be checked by referees because either there is not enough space or the referee does not have time to carefully check the results.","4","4","3","2","The digital library is pretty reasonable as it is.  It is essential for authors to be able to post their own papers on their own sites.

The real problem with all of this is who is going to pay to maintain the DL and the expenses of journals.","academia","20+ years ago","yes","SIGPLAN","North America"
"2015/03/06 1:36:05 AM AST","a moral imperative","yes","through increased conference registration costs (or attendance)","100","yes","To provide a safety net for risky conferences, and to update latex class files periodically. The association is pretty must an outdated model of collaboration. We have social networks that researchers can easily tap without membership to a professional organization.","yes","yes","Scientists say they're contributing to the world's knowledge, but without open access, they're only contributing to only a small elite's knowledge.","conferences","yes","yes","yes","they allow long form results;they provide better reviews","yes","The argument that CS moves too quickly for journals is a bug, not a feature. We are flooded with superficial crap only to be later inundated with more unrelated superficial crap. I don't see commitments to evaluate one's research to a point that they are convincing to people that do things other than write papers. The lack of attention to journals means that we as a community are essentially rewarding researchers for playing with tinker toys and punishing researchers for taking the time to produce quality work.","1","1","5","5","For a computer science library, the search feature is so atrocious that it is an embarrassment to the entire association. It is fantastically bad. I can search for exact titles and get several pages of unrelated articles. Workflow: I know the article exists. I was just on the page. But wait, I have to log in through my university's library in order to get access to download the article. Okay, I'm on the site through the library's portal. Search for copy-pasted title. Nothing. Flip a table and find the article on an author's website.","academia","<10 years ago","yes","SIGPLAN","North America"
"2015/03/06 1:38:46 AM AST","a desirable feature","no","through author processing charges","0","no","","no","no","","conferences","no","yes","yes","better reviewers  ","yes","","4","4","4","5","","industry","10+ years ago","no","","North America"
"2015/03/06 1:42:11 AM AST","a moral imperative","no","through increased conference registration costs (or attendance)","100","no","Advancing the state of the art of computing and assuring widespread dissemination of related knowledge","yes","yes","Seems like cost is always raised as an issue. Some good study/report on how much the cost is, exactly where the money goes, and improved transparency in general would be great.

I am a strong supporter of open access, given that most of the world outside of western nations are unable to access content without it.

However, I would be willing to concede author processing fees and what not if I knew where the money is going, who is getting paid. I would like this information to be easily available. Then I can decide if the causes are ones I want to support.","conferences","no","no","yes","","no","Archival/long form of papers can always be published as eprint versions. I don't see journals as being useful anymore.","3","4","3","5","","academia","<10 years ago","yes","","North America"
"2015/03/06 1:42:33 AM AST","a desirable feature","yes","through increased conference registration costs (or attendance)","100","yes","","yes","yes","","conferences","yes","yes","yes","they allow long form results;they allow one to present completed research","yes","","4","3","2","3","","academia","<10 years ago","no","","Europe"
"2015/03/06 1:42:39 AM AST","a moral imperative","yes","through increased conference registration costs (or attendance)","1000","yes","Publishing","yes","yes","","conferences","no","no","yes","it is expected by your employer","yes","The word journal for other disciplines that is not as high as our conferences and even some of our workshops (like PEPM). Those who ""under name"" these activities as merely conferences and workshops do a grave disservice to younger researchers. ","2","3","3","3","","academia","10+ years ago","yes","SIGPLAN, SIGBED","Europe"
"2015/03/06 1:42:47 AM AST","a moral imperative","yes","Philanthropic means; shouldn't take that much $$ all things considered.","0","no","The ACM exists to organize activities and disseminate information.

Research is for the benefit of all.  An organization -- other than the researcher -- that profits from research isn't a publisher, it's a profiteer.

The ACM can take the role of a producer, i.e., someone who pays a worker for work that can then be resold, but no one should charge for the dissemination of research and/or profit from someone else's labor without remuneration.","yes","yes","","both","no","yes","yes","they allow long form results;they are more prestigious","yes","","3","3","1","5","","industry","10+ years ago","no","","North America"
"2015/03/06 1:49:08 AM AST","a moral imperative","yes","through increased conference registration costs (or attendance)","100","yes","To facilitate meetings and conferences","yes","not essential","Charging for printed materials, paper journal subscriptions, physical artefacts, or even access non-scholarship prose (book reviews, editorials, etc) or access to all materials for a short time (suppose less than one year) might be a way to continue using publications as a source of funding without damaging the culture or the profession's access to knowledge and research.","conferences","no","yes","no","","yes","","","","","","","industry","haven't yet","yes","","North America"
"2015/03/06 1:50:06 AM AST","a moral imperative","yes","Adsense","0","yes","A curated list of research papers, with editorial commentary","yes","not essential","It will happen, whether existing publishers want it or not","both","no","no","yes","","Don't care","i used to read journals 25 years ago.
In past 15 years I usually find what I need for free online.","1","1","5","3","","industry","haven't yet","no","","North America"
"2015/03/06 1:51:11 AM AST","a moral imperative","yes","through increased conference registration costs (or attendance)","200","no","","yes","yes","","conferences","no","yes","yes","they allow long form results;they allow one to present completed research;they provide better reviews","yes","","5","5","3","3","","academia","<10 years ago","yes","SIGSOFT","North America"
"2015/03/06 1:52:36 AM AST","a moral imperative","no","through increased conference registration costs (or attendance)","0","no","","no","yes","","conferences","no","yes","yes","they provide better reviews","yes","","4","4","2","","","academia","<10 years ago","no","SIGPLAN","Europe"
"2015/03/06 1:53:00 AM AST","a moral imperative","no","Crowdfunding, donation. I.e. Wikipedia","0","no","Promote CS knowledge. 
Fight for recognition about our profession and studies on every country.","yes","not essential","It's the right thing if we want computer science to prosperate.","both","no","no","no","","yes","","4","3","3","3","","industry","haven't yet","no","Development and systems","Europe"
"2015/03/06 1:54:43 AM AST","a desirable feature","yes","through increased conference registration costs (or attendance)","100","yes","ACM's primary role is to accelerate computing science innovation worldwide.","yes","not essential","A creative commons license would likely ""accelerate computing science innovation worldwide."" My image is of a female CS researcher in India behind a paywall.","conferences","no","yes","yes","they are more prestigious","seems redundant","Few researchers (will) perform cover to cover reads of journals. More likely we will use a Google Scholar-like service (hope ACM DL) to email us when new papers are published that contain our favorite keywords.  ","2","3","4","3","","industry","10+ years ago","yes","SIGKDD","North America"
"2015/03/06 1:56:08 AM AST","a moral imperative","no","AdWords","0","yes","Organizing conferences. ","yes","yes","","conferences","no","no","yes","","yes","I don't see the importance of journals in CS. Longer form material can be made without them, and conferences do a better job at peer review. Material I've reviewed for journals typically is 3rd or 4th tier. ","2","1","5","1","If it had critical mass, it could have been a great place track comments and reviews about articles. But being closed prevents it from ever achieving that. Now I only go there for old articles that I can't easily access from Google Scholar or CiteSeer. ","industry","10+ years ago","no","SIGPLAN","Asia"
"2015/03/06 1:56:20 AM AST","a moral imperative","no","through increased conference registration costs (or attendance)","0","yes","","no","yes","","conferences","yes","no","no","they allow long form results;they allow one to present completed research","yes","","2","1","4","2","","industry","<10 years ago","no","","North America"
"2015/03/06 1:57:56 AM AST","a moral imperative","no","share between both","100","no","","yes","not essential","","conferences","no","yes","yes","they allow long form results;they allow one to present completed research","yes","","3","3","3","3","","academia","<10 years ago","yes","","North America"
"2015/03/06 1:59:01 AM AST","a desirable feature","yes","through author processing charges","1000","yes","To promote the advancement of computer science and computing.","no","not essential","I am very much in favor of open access, but I am also a pragmatist—I understand that the bills must be paid. I also appreciate the effort and expense that goes into running a library as opposed to a mere document collection. I am a strong proponent of libraries and librarians.","conferences","no","yes","yes","they allow long form results","yes","At least in my areas of CS, conferences are more important than journals.","5","4","4","1","Overall, I am pleased with the ACM DL except for its search functionality. I access the ACM DL through an institutional subscription, which makes it convenient for me, but I appreciate that it is not open to everyone (which is the point of this survey!). It would be useful for the ACM DL to archive ""artifacts"" in addition to papers, e.g., software an datasets.","academia","20+ years ago","yes","SIGPLAN, SIGOPS, SIGSOFT","North America"
"2015/03/06 2:04:16 AM AST","a moral imperative","no","through author processing charges","700","yes","Disseminate research results in CS and related areas. Thus the importance I see in making publications available to everyone.","no","not essential","","conferences","no","no","yes","","","With the wide availability of conference proceedings, I think journals now play a secondary role. Conference papers have many advantages over journals these days: 
- opportunity to present at the conference
- faster review cycle
- more prestigious in many fields of CS","4","4","3","","","industry","10+ years ago","yes","SIGPLAN","North America"
"2015/03/06 2:06:50 AM AST","a moral imperative","yes","government funding","0","yes","Digital publishing","yes","yes","","conferences","no","yes","yes","","no","","","","","","","academia","<10 years ago","yes","","North America"
"2015/03/06 2:07:37 AM AST","a desirable feature","no","through author processing charges","700","yes","","no","yes","","conferences","no","yes","yes","","yes","","4","4","2","2","","academia","<10 years ago","yes","SIGPLAN","North America"
"2015/03/06 2:21:12 AM AST","a desirable feature","no","funding agencies as publishers","0","no","publish top journals and conferences","no","not essential","there is so much fraud in open access that the model is already broken. I would rather kill off all the pay to play publishers and keep ACM's paywall intact.","both","yes","yes","yes","they provide better reviews;MUCH better reviews in many cases","no","journals are traditionally unimportant, but I believe people are slowly realizing that conference acceptance is semi-random. We are not a grown up discipline. As we mature, journals will become more important. Confererences-as-journal issues just perpetuates the problem.","1","1","5","1","I usually find things inside the DL using Google, then just click the link inside the DL. ACM's search engine is a joke.","academia","20+ years ago","yes","SIGPLAN","North America"
"2015/03/06 2:21:36 AM AST","a moral imperative","yes","through increased conference registration costs (or attendance)","0","yes","","yes","yes","","both","yes","yes","yes","they allow long form results;they allow one to present completed research;they are more prestigious;it is expected by your employer","yes","","1","3","5","5","","academia","10+ years ago","yes","","Europe"
"2015/03/06 2:22:50 AM AST","a moral imperative","no","through increased conference registration costs (or attendance)","200","yes","Promote and support computer science in the world at large","yes","not essential","","both","yes","yes","yes","they allow long form results;they allow one to present completed research;they are more prestigious","yes","","4","4","3","4","Too expensive for many practitioners","academia","10+ years ago","yes","sigplan","Europe"
"2015/03/06 2:25:59 AM AST","a moral imperative","yes","through increased conference registration costs (or attendance)","0","yes","","yes","not essential","","journals","no","yes","no","they allow long form results;they allow one to present completed research","yes","","4","3","5","5","","industry","<10 years ago","no","","North America"
"2015/03/06 2:32:55 AM AST","a moral imperative","yes","through increased conference registration costs (or attendance)","100","yes","The true role or purpose of an institution is what it actually does, so its primary role, from my perspective, is to take my money (or the money of the agency funding me, i.e. taxpayers' money) and set it on fire.

If the ACM truly cared about ""Good Works"", it would stop trying to run a substandard version of the arXiv, stop trying to run ""Webinars"" for people in ""industry"", etc., and move to a donation model (dues plus an optional top-up donation) to fund any actual ""Good Works"".  I don't think this will happen, partly because, considered as a charity, the ACM's administrative overhead would be laughably high.","yes","yes","First, let's get something clear: The ACM already has publication charges for conferences.  We just call them conference registration fees.

I chose ""through increased conference registration costs"", but if we piggybacked on the arXiv, *and* we wanted to ""pay our own way"", the ""increased cost"" would be on the order of $5 per paper.  Compared to current conference fees, $5 is a rounding error.

I'm not convinced we *would* have to pay our own way: many workshops publish their proceedings in EPTCS, which piggybacks on the arXiv and, AFAIK, doesn't pay the arXiv for that privilege.

(Aside: The statement that in Green OA, ""[papers] may not be preserved in perpetuity, and [have] no centralized index"" isn't really true if you put your papers on the arXiv.  Yes, the ACM's publication contract has misleading (intentionally misleading, I suspect) language that tries to make you think you can't—some nonsense about giving me the right to post a ""pre-peer review"" version; that right is not theirs to give or take away.  The ACM has no rights to my paper whatsoever until I sign the agreement.  If I choose to post a *post*-peer review version one minute before I sign the agreement, the ACM is powerless to stop me.)","conferences","yes","yes","yes","they allow long form results","yes","","1","3","3","5","The ACM spends millions of dollars running a ""digital library"" in which all, or nearly all, of the BibTeX entries for conferences miscapitalize the conference name *even for ACM conferences*, e.g., ""international conference on Functional programming"", ""symposium on Principles of programming languages"", etc.  I have lost count of how many bibliographies are riddled with errors because the ACM can't hit the shift key.

We should have replaced the DL with the arXiv decades ago, but better late than never.","academia","10+ years ago","no","SIGPLAN","North America"
"2015/03/06 2:33:09 AM AST","a moral imperative","yes","through increased conference registration costs (or attendance)","0","yes","","no","not essential","","conferences","no","no","yes","","","","","","","","","academia","10+ years ago","no","SIGOPS","North America"
"2015/03/06 2:35:50 AM AST","a moral imperative","yes","through increased conference registration costs (or attendance)","0","yes","","yes","yes","","conferences","yes","yes","yes","they allow long form results;they allow one to present completed research;they provide better reviews;they are more prestigious;it is expected by your employer","yes","","4","3","2","2","","academia","20+ years ago","yes","SIGPLAN","Europe"
"2015/03/06 2:35:54 AM AST","a desirable feature","yes","through author processing charges","200","yes","","yes","yes","","conferences","no","yes","yes","it is expected by your employer","no","","5","2","5","3","","academia","20+ years ago","yes","SIGPLAN, SIGHPC","North America"
"2015/03/06 2:36:08 AM AST","a desirable feature","yes","through author processing charges","700","yes","","yes","yes","","conferences","yes","yes","yes","they allow long form results;they allow one to present completed research;it is expected by your employer","yes","Journals allow to communicate results in long form so that they are more understandable to other scientists. Conference papers tend to be more of an announcement of a result than an explanation of a result.","2","2","4","4","","academia","20+ years ago","yes","SIGPLAN","Europe"
"2015/03/06 2:40:43 AM AST","a moral imperative","yes","through increased conference registration costs (or attendance)","100","yes","","yes","yes","","conferences","no","yes","yes","they allow long form results;they provide better reviews","yes","","3","3","2","4","","academia","<10 years ago","no","","Europe"
"2015/03/06 2:40:51 AM AST","a desirable feature","yes","through increased conference registration costs (or attendance)","200","yes","It is difficult to identify a single role. Certainly being one of the 2 significant publication/conference brands in the ICT sector is extremely important, as is being an advocacy group for the sector (although this is difficult if ACM wants to be an international organisation). 

Note: a lot of the ACM's good works activities seem US-focused, which (as someone in Oceania/Australiasia, a region not even mentioned in your survey!) influences my view on scaling them back.","no","yes","Because academics at my institution are required to fund all of their activities through grant/consulting income, early career academics would struggle to find funding for open access fees.","both","yes","yes","yes","they allow long form results;it is expected by your employer","yes","The pressure to publish in journals by my employer (a major university) is paramount. The relative importance of conferences in CS is not something of which they can be convinced.","4","4","4","3","I access the DL content exclusively through other means (via google, google scholar, dblp, etc).","academia","10+ years ago","yes","","Asia"
